Diet_type;Recipe_name;Cuisine_type;Protein_g;Carbs_g;Fat_g;Extraction_day;Extraction_time
paleo;Bone Broth From 'Nom Nom Paleo';american;522;129;32;16/10/2022;17:20:09
paleo;Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer;south east asian;18155;2862;14614;16/10/2022;17:20:09
paleo;Paleo Pumpkin Pie;american;3091;30259;9676;16/10/2022;17:20:09
paleo;Strawberry Guacamole recipes;mexican;962;7578;5989;16/10/2022;17:20:09
paleo;"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'";chinese;3984;5408;7155;16/10/2022;17:20:09
paleo;Paleo Shrimp-Stuffed Mushrooms recipes;mediterranean;6862;3415;4244;16/10/2022;17:20:09
paleo;Paleo Pumpkin Pie recipes;american;3003;27588;9768;16/10/2022;17:20:09
paleo;Autoimmune Paleo Pesto;italian;425;1415;729;16/10/2022;17:20:09
paleo;Baked Banana Chip Encrusted French Toast;french;15288;187452;3858;16/10/2022;17:20:09
paleo;Vietnamese Pho Pressure Cooker (Noodle Soup);south east asian;60291;27487;40001;16/10/2022;17:20:09
paleo;Paleo Collard Burrito;mexican;4462;2866;7846;16/10/2022;17:20:09
paleo;Paleo Chawanmushi (Savory Egg Custard) recipes;american;6143;1329;246;16/10/2022;17:20:09
paleo;‘paleo' banana bread;american;4669;19254;15648;16/10/2022;17:20:09
paleo;Leftover Turkey Sandwich recipes;american;5409;3497;141;16/10/2022;17:20:16
paleo;Paleo Pumpkin Waffles;american;5124;8963;7838;16/10/2022;17:20:16
paleo;Fudgy Paleo Brownies;french;6429;26365;17636;16/10/2022;17:20:16
paleo;Magic Wings recipes;american;32076;2836;25282;16/10/2022;17:20:16
paleo;Turkey Club Sandwich;american;4692;3994;196;16/10/2022;17:20:16
paleo;Easy Paleo Meatloaf;american;18599;4782;26064;16/10/2022;17:20:16
paleo;Paleo Crepes;french;1573;1591;4916;16/10/2022;17:20:16
paleo;Chocolate Pecan Pie recipes;american;5986;56739;32076;16/10/2022;17:20:16
paleo;Simple Crab Salad recipes;american;821;475;2024;16/10/2022;17:20:16
paleo;Chocolate Pecan Pie;american;547;50339;32012;16/10/2022;17:20:16
paleo;Asian Meatballs recipes;indian;16707;5511;21014;16/10/2022;17:20:16
paleo;Blueberry French Toast Casserole;french;7859;2901;8495;16/10/2022;17:20:16
paleo;Paleo Spanish Rice;mediterranean;2867;6413;3771;16/10/2022;17:20:23
paleo;Whole30® Sriracha;south east asian;1216;8578;291;16/10/2022;17:20:23
paleo;Banana Cream Pie;american;1785;21569;30425;16/10/2022;17:20:23
paleo;Spicy Salmon Cucumber Bites recipes;nordic;4984;172;7562;16/10/2022;17:20:23
paleo;Blueberry French Toast Casserole recipes;french;7859;2901;8495;16/10/2022;17:20:23
paleo;Paleo Honey Cake;eastern europe;8732;25825;25921;16/10/2022;17:20:23
paleo;Chocolate Pumpkin Pie recipes;central europe;4405;42969;16278;16/10/2022;17:20:23
paleo;Paleo Creamy Alfredo;american;1648;3246;9136;16/10/2022;17:20:23
paleo;Paleo Blini recipes;eastern europe;155;1278;2329;16/10/2022;17:20:23
